dataset_key,relpath,role,source_url,downloaded,sha256,status
lyu,raw/lyu_2019/lyu2019_ieee_access_8723142.pdf,jobsets;network;refvalues,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8723142 (DOI 10.1109/ACCESS.2019.2919109; IEEE Access 开放获取),2026-08-17,c1e775e63a1132b2d7e8f68c88de760097dff4c164d7d42a66ed06a5cc9ccdc6,raw_only
lyu,extracted/lyu/fulltext.txt,text_extraction,"pdftotext -raw -enc UTF-8 (poppler; 源见同 dataset 的 raw 行);第八节引的原文语句与表号出自此件,尚未转成算例",2026-08-17,2694f66a6c42894c85b35d942cfb9c5eae587469ebb45857b184833d860b635a,raw_only
bu,extracted/bu/layouts_4machines.txt,manual_transcription,"人工转录 raw PDF 第 2 页 Table 13(该 PDF 无内嵌字体、pdftotext 仅得 5 字符,故不可机读);布局 1 已由 hf 机读矩阵复核(tools/check_fidelity.py::crosscheck_bu_layout1),布局 2/3/4 待第二人复核",2026-08-17,fa50486e17ea0d26101a4da698ccb8186ccd132f0af95cb1ae66a8e46fe9acf4,transcribed_partially_verified
lyu,raw/tjsp_toolset/data/benchmarks/lyu2019/layouts/3machines/1.data,layouts,"https://github.com/TUE-EE-ES/TJSP-toolset (van Os 硕士论文配套工具集;三行格式:网格尺寸/[装货站 m1..mk 卸货站]/缺边);已转录进 PUB_LAYOUTS 但未生成算例:仅 3 台机器时固定 F=0.6 给出 F*NM=1.8<2,与 B1 冲突",2026-08-18,5b358c57e1dff04a8ab292399a27a01eae1e74dbfa53a660702de6f08249d885,transcribed_not_instantiated
lyu,raw/tjsp_toolset/data/benchmarks/lyu2019/layouts/4machines/2.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,b99158d212b00c9feb53253c7ba153266d8498ef53328f19b4b986301208817b,used_topology_only
lyu,raw/tjsp_toolset/data/benchmarks/lyu2019/layouts/5machines/3.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,e6c89af3bb2c58a499e2684ce4d810e075d5f4b17b9fc15a4cc8a2342b03b852,used_topology_only
lyu,raw/tjsp_toolset/data/benchmarks/lyu2019/layouts/6machines/4.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,349c302df8193bdd975907a92b2430897329acb1f2a465ce3b78711da7d00d2e,used_topology_only
lyu,raw/tjsp_toolset/data/benchmarks/lyu2019/layouts/7machines/5.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,a31135a94e6c2535514a37a60860164fdf8e2a982305d2fc79726e427ed6b917,used_topology_only
lyu,raw/tjsp_toolset/data/benchmarks/lyu2019/layouts/8machines/6.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,9d65082efe01100a831bfecfb1834e465f633f7a237cc5beb6217c6638ffe540,used_topology_only
liu,raw/tjsp_toolset/data/benchmarks/liu2023/layouts/3machines/1.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,f3ba9cbbd6550b1265a689bb492a50b44ea5af8c4b78b978987fd6b5feb1a8a1,excluded_diagonal_moves
liu,raw/tjsp_toolset/data/benchmarks/liu2023/layouts/4machines/1.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,f6fc670fdb626b9277084c5ddcd9b3603bf837d5f28463a903f78b99cc872283,excluded_diagonal_moves
liu,raw/tjsp_toolset/data/benchmarks/liu2023/layouts/5machines/1.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,d4e13a01af73f4a55f16fd289ceb0f310c4e86cf2e4a3bbbbcde7c11f977ce33,excluded_diagonal_moves
liu,raw/tjsp_toolset/data/benchmarks/liu2023/layouts/5machines/2.data,layouts,https://github.com/TUE-EE-ES/TJSP-toolset,2026-08-18,20902a2632967cb55325723602539dfff1f79c883ea2860bd7436b35141b6816,excluded_diagonal_moves
lyu;liu,raw/tjsp_toolset/library/model_data.py,parser_reference,"https://github.com/TUE-EE-ES/TJSP-toolset;留档理由:布局文件的节点序([0]=装货站)、单位边权(addEdge(...,1))与缺边双向删除三项语义均由此文件确定,而非由布局文件自述",2026-08-18,c0537f51af429cd922902d013ee750ed46a805da9a8e1f84965e93ea7af04267,parser_reference
